,name,var,price
156,全新 通信網路業,0.42,110.0
157,台揚 通信網路業,0.42,33.04
158,大魯閣 貿易百貨業,0.42,14.6
159,強茂 半導體業,0.42,44.0
160,揚智 半導體業,0.42,30.29
161,明基材 光電業,0.42,26.5
162,晶相光 半導體業,0.42,122.5
163,東華 紡織纖維,0.42,7.44
164,美律 通信網路業,0.42,151.0
165,華新科 電子零組件業,0.42,222.5
166,誠創 半導體業,0.42,5.3
167,鉅祥 電子零組件業,0.42,20.45
168,閎暉 通信網路業,0.42,35.25
169,TPK-KY 光電業,0.43,46.5
170,兆勁 通信網路業,0.43,14.05
171,大統新創 紡織纖維,0.43,18.39
172,宏旭-KY 汽車工業,0.43,12.85
173,寶徠 建材營造業,0.43,10.0
174,惠特 光電業,0.43,154.5
175,承啟 電腦及週邊設備業,0.43,30.35
176,敦泰 半導體業,0.43,73.5
177,新世紀 光電業,0.43,3.81
178,GIS-KY 光電業,0.44,111.0
179,亞德客-KY 電機機械,0.44,895.0
180,佳世達 電腦及週邊設備業,0.44,27.25
181,南亞科 半導體業,0.44,84.8
182,和鑫 光電業,0.44,11.3
183,嘉晶 半導體業,0.44,70.9
184,廷鑫 其他業,0.44,14.95
185,揚明光 光電業,0.44,60.0
186,晶電 光電業,0.44,41.5
187,力特 光電業,0.45,5.58
188,川飛 其他業,0.45,21.7
189,建碁 電腦及週邊設備業,0.45,15.65
190,志聯 鋼鐵工業,0.45,15.15
191,智邦 通信網路業,0.45,293.5
192,正達 光電業,0.45,16.35
193,光磊 光電業,0.46,25.25
194,大眾控 電腦及週邊設備業,0.46,13.4
195,威盛 半導體業,0.46,60.79
196,晶心科 半導體業,0.46,281.0
197,科風 其他電子業,0.46,5.0
198,訊芯-KY 半導體業,0.46,118.5
199,豐達科 鋼鐵工業,0.46,57.2
200,世芯-KY 半導體業,0.47,630.0
201,國碩 光電業,0.47,22.15
202,東訊 通信網路業,0.47,7.54
203,樂士 電機機械,0.47,17.0
204,祥碩 半導體業,0.47,1680.0
205,隴華 電腦及週邊設備業,0.47,30.33
206,太空梭 電子零組件業,0.48,13.95
207,虹光 電腦及週邊設備業,0.48,7.07
208,緯穎 電腦及週邊設備業,0.49,703.0
209,麗臺 電腦及週邊設備業,0.49,22.0
210,卓越 其他業,0.5,54.0
211,玉晶光 光電業,0.5,579.0
212,華上 光電業,0.5,3.25
213,茂矽 半導體業,0.51,34.59
214,三芳 塑膠工業,0.52,21.9
215,海悅 其他業,0.52,86.0
216,旺宏 半導體業,0.53,40.75
217,欣巴巴 建材營造業,0.53,38.2
218,聯上發 建材營造業,0.53,9.5
219,銘旺科 電子零組件業,0.53,18.89
220,三地開發 建材營造業,0.54,12.6
221,互億 電腦及週邊設備業,0.54,29.6
222,憶聲 光電業,0.55,11.35
223,倫飛 電腦及週邊設備業,0.56,3.43
224,宏璟 建材營造業,0.59,18.85
225,毅嘉 電子零組件業,0.61,17.2
226,愛山林 建材營造業,0.63,74.19
227,燁興 鋼鐵工業,0.63,9.19
228,台虹 電子零組件業,0.64,54.79
229,天瀚 光電業,0.65,3.55
230,怡華 紡織纖維,0.68,13.8
231,業旺 紡織纖維,0.68,29.29
232,吉祥全 光電業,0.73,9.69
233,大將 紡織纖維,0.81,8.81
234,千興 鋼鐵工業,0.86,3.0
235,翔耀 光電業,1.01,6.74
236,皇普 建材營造業,1.28,23.54
237,淳安 其他電子業,2.34,37.34
238,GIS-KY 光電業,0.44,111.0
